text,url
CHIMNEYS AND VENTS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter8_ChimneysVentsWB.pdf&amp;section=conscode_2022
SPECIFIC APPLIANCES AND EQUIPMENT,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter9_SpecificAppliancesWB.pdf&amp;section=conscode_2022
"BOILERS, WATER HEATERS AND PRESSURE VESSELS",https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter10_BoilersWB.pdf&amp;section=conscode_2022
REFRIGERATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter11_RefrigerationWB.pdf&amp;section=conscode_2022
HYDRONIC PIPING,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter12_HydronicPipingWB.pdf&amp;section=conscode_2022
FUEL-OIL PIPING AND STORAGE,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter13_FuelOilPipingWB.pdf&amp;section=conscode_2022
SOLAR SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter14_SolarSystemsWB.pdf&amp;section=conscode_2022
REFERENCED STANDARDS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_Chapter15_RefStandardsWB.pdf&amp;section=conscode_2022
CHIMNEY CONNECTOR PASS-THROUGHS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_AppendixA_ChimneyConnectorWB.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_AppendixB_ReservedWB.pdf&amp;section=conscode_2022
FUEL OIL STORAGE TANK VENTING OPTIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022MC_AppendixC_FuelOilStorageWB.pdf&amp;section=conscode_2022
ADMINISTRATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter1_AdministrationWB.pdf&amp;section=conscode_2022
DEFINITIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter2_DefinitionsWB.pdf&amp;section=conscode_2022
GENERAL REGULATIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter3_GenRegsWB.pdf&amp;section=conscode_2022
GAS PIPING INSTALLATIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter4_GasPipingWB.pdf&amp;section=conscode_2022
CHIMNEYS AND VENTS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter5_ChimneysVentsWB.pdf&amp;section=conscode_2022
SPECIFIC APPLIANCES,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter6_SpecAppliancesWB.pdf&amp;section=conscode_2022
GASEOUS HYDROGEN SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter7_GaseousHydrogenWB.pdf&amp;section=conscode_2022
REFERENCED STANDARDS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_Chapter8_RefStandardsWB.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_AppendixA_ReservedWB.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_AppendixB_ReservedWB.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_AppendixC_ReservedWB.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_AppendixD_ReservedWB.pdf&amp;section=conscode_2022
METERS AND GAS SERVICE PIPING,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_AppendixE_GasServiceWB.pdf&amp;section=conscode_2022
RESERVED,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_AppendixF_ReservedWB.pdf&amp;section=conscode_2022
HIGH PRESSURE NATURAL GAS INSTALLATIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022FGC_AppendixG_HPNaturalGasWB.pdf&amp;section=conscode_2022
ADMINISTRATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter01_AdministrationWBwm.pdf&amp;section=conscode_2022
DEFINITIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter02_DefinitionsWBwm.pdf&amp;section=conscode_2022
USE AND OCCUPANCY CLASSIFICATION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter03_OccupancyClassWBwm.pdf&amp;section=conscode_2022
SPECIAL DETAILED REQUIREMENTS BASED ON USE AND OCCUPANCY,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter04_SpecialUseWBwm.pdf&amp;section=conscode_2022
GENERAL BUILDING HEIGHTS AND AREAS; SEPARATION OF OCCUPANCIES,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter05_HeightAreaWBwm.pdf&amp;section=conscode_2022
TYPES OF CONSTRUCTION,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter06_ConstructionTypeWBwm.pdf&amp;section=conscode_2022
FIRE AND SMOKE PROTECTION FEATURES,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter07_FireResistanceWBwm.pdf&amp;section=conscode_2022
INTERIOR FINISHES,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter08_InteriorFinishesWBwm.pdf&amp;section=conscode_2022
FIRE PROTECTION SYSTEMS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter09_FireProtectionWBwm.pdf&amp;section=conscode_2022
MEANS OF EGRESS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter10_EgressWBwm.pdf&amp;section=conscode_2022
ACCESSIBILITY,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter11_AccessibilityWBwm.pdf&amp;section=conscode_2022
INTERIOR ENVIRONMENT,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter12_InteriorEnvironmentWBwm.pdf&amp;section=conscode_2022
ENERGY EFFICIENCY,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter13_EnergyWBwm.pdf&amp;section=conscode_2022
EXTERIOR WALLS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter14_ExteriorWallsWBwm.pdf&amp;section=conscode_2022
ROOF ASSEMBLIES AND ROOFTOP STRUCTURES,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter15_RoofsRooftopsWBwm.pdf&amp;section=conscode_2022
STRUCTURAL DESIGN,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter16_StructuralDesignWBwm.pdf&amp;section=conscode_2022
SPECIAL INSPECTIONS AND TESTS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter17_SpecialInspectionsWBwm.pdf&amp;section=conscode_2022
SOILS AND FOUNDATIONS,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter18_SoilsFoundationsWBwm.pdf&amp;section=conscode_2022
CONCRETE,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter19_ConcreteWBwm.pdf&amp;section=conscode_2022
ALUMINUM,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter20_AluminimWBwm.pdf&amp;section=conscode_2022
MASONRY,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter21_MasonryWBwm.pdf&amp;section=conscode_2022
STEEL,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter22_SteelWBwm.pdf&amp;section=conscode_2022
WOOD,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter23_WoodWBwm.pdf&amp;section=conscode_2022
GLASS AND GLAZING,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter24_GlassGlazingWBwm.pdf&amp;section=conscode_2022
"GYPSUM BOARD, GYPSUM PANEL PRODUCTS AND PLASTER",https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter25_GypsumBoardWBwm.pdf&amp;section=conscode_2022
PLASTIC,https://www.nyc.gov/assets/buildings/apps/pdf_viewer/viewer.html?file=2022BC_Chapter26_PlasticWBwm.pdf&amp;section=conscode_2022
